TITLE	WORDS	CATEGORY	G_SCORE	MATCH_TYPE	LINK
Off to Reading or Leeds? Here's your guide to festival make-up (without the toxins)	907	health	8	practical	https://www.bbc.co.uk/news/articles/c0m71plpj0mo
Treatment involving patient's family cuts mental health hospital admissions, study finds	865	health	9	practical	https://www.bbc.co.uk/news/articles/cvgydk0vvpyo
Scottish airport numbers soar despite Middle East turmoil	770	travel	8	practical	https://www.bbc.co.uk/news/articles/c05rg8vey81o
Plug-in solar panels are coming to a shop near you - here's what to know	1008	consumer	12	practical	https://www.bbc.co.uk/news/articles/c4g3y6398nwo
Lighting to vintage gems: Five tips to spruce up your rental	862	housing	10	practical	https://www.bbc.co.uk/news/articles/c3w0972z5d8o
Meta's $18bn settlement may hasten reckoning for social media on child safety	1087	technology	7	practical	https://www.bbc.co.uk/news/articles/clyq4gxwe7go
Back to school: How parents can save on uniform costs	827	education	7	section3	https://www.bbc.co.uk/news/articles/cedjqx6zdl0o
Household energy bills to hit three-year high as Ofgem announces 4% rise from October	1178	housing	10	practical	https://www.bbc.co.uk/news/articles/cqjkl1xvgw5o
Why high energy bills look like they are here to stay	970	housing	13	practical	https://www.bbc.co.uk/news/articles/c046peqrg9xo
Vapes could lead to health harms in children, doctors warn	735	health	7	practical	https://www.bbc.co.uk/news/articles/c0rdl0y8d4wo
'Relentless' GCSE resit cycle 'simply not working', school and college leaders say	1068	education	7	section3	https://www.bbc.co.uk/news/articles/czdm6d2z3gro
How a new era of heatwaves could shake up the school calendar	2187	education	7	section3	https://www.bbc.co.uk/news/articles/cp872m0grgyo
More students planning to live at home for university over 'insane' living costs	1038	work	6	practical	https://www.bbc.co.uk/news/articles/c70gy180e8lo
A nosy polar bear and a lucky squirrel: Wildlife Photographer of the Year 2026 shortlist	1750	environment	7	section3	https://www.bbc.co.uk/news/articles/cg7m5e3mylpo
World's oceans hit highest temperature on record as El Niño grows	752	environment	6	section3	https://www.bbc.co.uk/news/articles/c62m4gpnp78o
TikTok to pay $400m to US in one of largest child privacy settlements	582	technology	7	practical	https://www.bbc.co.uk/news/articles/cwyr0l45xjro
The unseen price of travelling safely as a woman	1332	consumer	11	practical	https://www.bbc.com/travel/article/20260807-the-controversial-economics-of-women-only-travel
Is &#39;Tiny Tourism&#39; the antidote to mass tourism?	1719	travel	9	practical	https://www.bbc.com/travel/article/20260813-is-tiny-tourism-the-antidote-to-mass-tourism
The millennials swapping doom-scrolling for gardening	1058	work	6	practical	https://www.bbc.co.uk/news/articles/c4g4r4n3p02o
Jewish community in harder position than immediately after synagogue attack, says rabbi	1236	society	7	section3	https://www.bbc.co.uk/news/articles/cjrx4j7pyz3o
We all share a 15-acre Georgian mansion for the price of a two-bed house	1630	consumer	16	practical	https://www.bbc.co.uk/news/articles/cg7mglglvmgo
'My parents won't lend me £10k but helped my brother': When families play financial favourites	982	work	6	practical	https://www.bbc.co.uk/news/articles/cx279dml00ro
Gatwick Airport faced water outage after main burst	567	travel	6	practical	https://www.bbc.co.uk/news/articles/cjdvl93e10jo
I was spending £700 a month: How I beat my late-night shopping addiction	1070	consumer	11	practical	https://www.bbc.co.uk/news/articles/czxqk1gwxn7o
School uniform swap shop 'saves money and tackles second hand clothes stigma'	983	consumer	13	practical	https://www.bbc.co.uk/news/articles/crr452d45nyo
One in eight young people still out of work or education ahead of major review	970	work	8	practical	https://www.bbc.co.uk/news/articles/c93epy2yev0o
Six ways parents could make the return to school a little easier	1325	education	6	section3	https://www.bbc.co.uk/news/articles/c8rnp5m85jlo
What does Neet stand for and why does the UK have so many?	1338	work	8	practical	https://www.bbc.co.uk/news/articles/cly9rq35de8o
Bank holiday weekend to see more thunderstorms and rain	685	travel	6	practical	https://www.bbc.co.uk/weather/articles/cpq0zqepnrlo
What the Meta settlement means for the UK, and other questions after the deal	1333	technology	7	practical	https://www.bbc.co.uk/news/articles/cg49q4xydq0o
